geo_plz,Anzahl,Durchschnittsmiete,PLZ Name (short),lat,long,popup
01067,566,1237,Dresden,51.0602567056,13.7178022174,01067 Dresden Anzahl: 566 Durchschnittsmiete: 1237.0
01069,175,702,Dresden,51.0399084836,13.7368379072,01069 Dresden Anzahl: 175 Durchschnittsmiete: 702.0
01097,290,837,Dresden,51.0668156027,13.7412926873,01097 Dresden Anzahl: 290 Durchschnittsmiete: 837.0
01099,318,714,Dresden,51.0917768788,13.8276576951,01099 Dresden Anzahl: 318 Durchschnittsmiete: 714.0
01108,46,638,Dresden,51.1524841015,13.7873430524,01108 Dresden Anzahl: 46 Durchschnittsmiete: 638.0
01109,60,800,Dresden,51.120462809,13.7551956788,01109 Dresden Anzahl: 60 Durchschnittsmiete: 800.0
01127,142,691,Dresden,51.0913044741,13.7448371608,01127 Dresden Anzahl: 142 Durchschnittsmiete: 691.0
01129,124,647,Dresden,51.0969609766,13.7234848528,01129 Dresden Anzahl: 124 Durchschnittsmiete: 647.0
01139,175,618,Dresden,51.0806046578,13.6884432925,01139 Dresden Anzahl: 175 Durchschnittsmiete: 618.0
01156,55,840,Dresden,51.0658278379,13.6212717295,01156 Dresden Anzahl: 55 Durchschnittsmiete: 840.0
01157,224,603,Dresden,51.0643561198,13.6676786028,01157 Dresden Anzahl: 224 Durchschnittsmiete: 603.0
01159,483,653,Dresden,51.0434242966,13.697700668,01159 Dresden Anzahl: 483 Durchschnittsmiete: 653.0
01169,254,482,Dresden,51.0396231327,13.6666926856,01169 Dresden Anzahl: 254 Durchschnittsmiete: 482.0
01187,259,738,Dresden,51.0282208352,13.675399467,01187 Dresden Anzahl: 259 Durchschnittsmiete: 738.0
01189,71,667,Dresden,51.0141736633,13.7015652088,01189 Dresden Anzahl: 71 Durchschnittsmiete: 667.0
01217,106,562,Dresden,51.0162664665,13.7431288189,01217 Dresden Anzahl: 106 Durchschnittsmiete: 562.0
01219,217,645,Dresden,51.0231768153,13.765912591,01219 Dresden Anzahl: 217 Durchschnittsmiete: 645.0
01237,184,714,Dresden,51.017572394,13.7987057853,01237 Dresden Anzahl: 184 Durchschnittsmiete: 714.0
01239,165,501,Dresden,50.9995572196,13.7851876369,01239 Dresden Anzahl: 165 Durchschnittsmiete: 501.0
01257,121,579,Dresden,51.0116667136,13.8107776569,01257 Dresden Anzahl: 121 Durchschnittsmiete: 579.0
01259,105,633,Dresden,50.995525129,13.8475627888,01259 Dresden Anzahl: 105 Durchschnittsmiete: 633.0
01277,228,685,Dresden,51.0361285231,13.7971935401,01277 Dresden Anzahl: 228 Durchschnittsmiete: 685.0
01279,164,657,Dresden,51.027268437,13.8265868979,01279 Dresden Anzahl: 164 Durchschnittsmiete: 657.0
01307,250,701,Dresden,51.054182689,13.7702219237,01307 Dresden Anzahl: 250 Durchschnittsmiete: 701.0
01309,382,987,Dresden,51.0492202614,13.7894318759,01309 Dresden Anzahl: 382 Durchschnittsmiete: 987.0
