livingSpaceRange,livingSpace,noRoomsRange,noRooms,yearConstructedRange,yearConstructed,regio1_numeric,big_city,totalRent
4,86.58,3,3.0,1.0,1910.0,1,1,673.0
2,56.0,2,2.0,1.0,1880.0,6,0,480.0
2,55.18,3,3.0,5.0,1994.0,2,0,440.0
2,48.0,2,2.0,2.0,1964.0,14,1,795.0
3,72.53,2,2.0,9.0,2017.0,15,1,1142.89
4,88.11,3,3.0,9.0,2019.0,8,1,1018.88
2,60.4,3,3.0,4.0,1989.0,4,1,428.84
1,35.4,1,1.0,4.0,1986.0,4,0,274.0
1,38.0,1,1.0,2.0,1968.0,14,1,699.0
4,94.0,3,3.0,3.0,1975.0,13,1,1100.0
6,135.0,5,5.0,9.0,2019.0,14,1,3380.0
6,124.75,5,5.0,9.0,2019.0,4,1,1583.0
2,45.58,2,2.0,1.0,1933.0,1,1,524.17
2,58.59,3,3.0,3.0,1974.0,4,1,604.0
2,44.0,1,1.0,1.0,1902.0,8,1,620.0
3,75.95,2,2.0,1.0,1867.0,4,0,593.0
3,75.0,4,4.0,5.0,1995.0,2,0,580.0
3,64.52,3,3.0,2.0,1962.0,1,0,487.0
2,45.0,2,2.0,5.0,1997.0,4,1,325.0
4,82.35,3,3.0,3.0,1972.0,12,0,1050.0
2,60.0,3,3.0,3.0,1976.0,4,0,455.0
6,138.53,5,6.0,4.0,1986.0,11,0,1600.0
2,57.0,2,2.0,1.0,1900.0,4,0,395.0
1,20.0,1,1.0,9.0,2016.0,11,1,410.0
4,88.0,3,3.0,8.0,2015.0,14,0,1110.0
1,19.0,1,1.0,3.0,1972.0,13,0,310.0
3,73.24,3,3.0,1.0,1900.0,15,1,1257.08
2,41.4,2,2.0,4.0,1987.0,3,0,334.0
2,60.72,2,2.0,9.0,2017.0,15,1,950.0
5,110.62,3,3.0,9.0,2017.0,8,1,1425.0
2,57.35,3,3.0,2.0,1956.0,1,0,408.0
3,65.47,3,3.0,4.0,1989.0,1,0,555.0
1,26.3,1,1.0,4.0,1985.0,3,0,275.0
5,105.0,3,3.0,1.0,1900.0,1,0,930.0
6,140.0,4,4.0,2.0,1959.0,8,1,1275.0
2,53.0,2,2.0,5.0,1995.0,11,0,550.0
2,59.0,2,2.0,3.0,1980.0,2,0,440.0
3,69.0,1,1.5,4.0,1990.0,14,0,850.0
2,46.73,2,2.0,2.0,1954.0,13,0,650.0
4,95.0,3,3.0,3.0,1973.0,11,0,600.0
4,93.0,3,3.0,4.0,1984.0,8,0,770.0
2,47.0,2,2.0,2.0,1960.0,7,1,445.0
2,57.31,3,3.0,3.0,1974.0,1,0,360.0
2,43.0,1,1.0,8.0,2013.0,4,1,539.0
2,50.0,2,2.0,2.0,1970.0,2,0,370.0
2,55.0,2,2.0,1.0,1932.0,4,0,430.0
1,32.75,1,1.0,5.0,1996.0,3,1,361.0
2,58.58,2,2.0,2.0,1965.0,8,1,446.0
3,75.0,2,2.5,5.0,1994.0,12,1,1780.0
4,95.0,3,3.0,4.0,1983.0,7,1,800.0
5,102.0,4,4.0,1.0,1908.0,8,1,690.0
3,79.15,2,2.0,1.0,1900.0,1,1,660.9
3,71.39,3,3.0,2.0,1961.0,7,1,766.27
3,67.26,2,2.0,1.0,1923.0,4,1,490.0
2,51.0,2,2.0,1.0,1913.0,8,1,490.0
5,106.27,4,4.0,1.0,1900.0,2,0,686.0
3,67.54,2,2.0,9.0,2018.0,7,0,733.0
1,35.0,1,1.0,4.0,1986.0,8,1,1400.0
2,55.17,3,3.0,1.0,1930.0,4,1,416.0
2,56.5,2,2.0,1.0,1905.0,4,1,385.0
5,110.0,4,4.0,1.0,1904.0,8,1,690.0
3,67.0,2,2.0,1.0,1904.0,5,0,575.0
5,120.0,3,3.0,5.0,1999.0,8,1,1740.0
3,78.0,3,3.0,1.0,1937.0,12,0,660.0
1,39.0,1,1.0,1.0,1935.0,4,1,370.0
2,43.0,2,2.0,4.0,1987.0,14,0,480.0
2,59.35,2,2.0,3.0,1972.0,1,0,478.0
2,47.0,2,2.5,2.0,1967.0,8,1,504.0
4,81.31,3,3.0,9.0,2018.0,13,1,1740.0
2,48.84,2,2.0,1.0,1938.0,3,0,370.0
3,66.61,3,3.0,4.0,1984.0,4,1,603.0
5,104.0,4,4.0,1.0,1816.0,12,1,1600.0
4,82.0,2,2.0,8.0,2012.0,8,1,880.0
1,26.12,1,1.0,5.0,1991.0,8,1,461.2
1,28.0,1,1.0,5.0,1997.0,6,1,380.0
3,66.47,3,3.0,2.0,1965.0,8,1,669.0
2,56.76,2,2.0,5.0,1993.0,4,0,430.0
3,70.0,3,3.0,1.0,1910.0,4,0,545.0
2,50.0,2,2.0,9.0,2018.0,14,0,730.0
3,63.5,2,2.0,5.0,1992.0,13,0,574.5
4,91.0,1,1.0,9.0,2018.0,14,1,1150.0
6,143.0,3,3.0,7.0,2010.0,13,1,2850.0
4,100.0,3,3.0,1.0,1903.0,14,1,2800.0
3,69.57,3,3.0,3.0,1975.0,1,0,436.0
3,70.0,3,3.0,1.0,1926.0,4,1,640.0
3,71.16,2,2.0,5.0,1996.0,4,1,770.0
2,58.88,2,2.0,9.0,2019.0,15,1,1339.52
3,65.94,2,2.0,9.0,2018.0,15,1,2307.0
7,274.0,5,5.0,1.0,1900.0,15,1,8706.0
6,128.0,3,3.0,9.0,2020.0,8,0,1400.0
5,110.0,3,3.0,5.0,1996.0,14,0,1000.0
5,109.0,3,3.5,4.0,1986.0,11,0,930.0
2,41.5,2,2.0,5.0,2000.0,4,0,375.0
3,62.65,2,2.0,5.0,1995.0,15,1,1042.0
2,54.0,2,2.0,1.0,1900.0,14,1,620.0
2,50.0,2,2.5,5.0,1993.0,8,1,490.0
3,80.0,2,2.0,4.0,1990.0,14,0,820.0
2,54.0,2,2.0,1.0,1913.0,8,1,540.56
2,59.4,3,3.0,4.0,1988.0,4,1,542.0
2,54.5,2,2.0,1.0,1900.0,4,1,455.0
3,72.54,2,2.0,5.0,1993.0,10,0,850.0
1,27.74,1,1.0,5.0,1995.0,4,1,241.0
2,48.0,2,2.0,1.0,1900.0,1,0,412.0
5,116.0,5,5.0,9.0,2019.0,4,1,1415.0
2,56.0,2,2.5,2.0,1962.0,8,1,595.0
3,78.0,3,3.0,1.0,1900.0,4,1,726.0
4,81.0,3,3.0,1.0,1886.0,7,1,1400.0
6,125.0,4,4.0,1.0,1909.0,16,1,1420.0
2,42.0,1,1.0,2.0,1964.0,9,0,433.38
2,53.0,1,1.0,5.0,1995.0,1,0,420.0
4,85.0,3,3.0,1.0,1936.0,7,1,890.0
6,122.0,3,3.5,2.0,1968.0,8,0,1380.0
5,108.0,3,3.0,9.0,2018.0,13,0,1750.0
6,124.0,3,3.0,3.0,1979.0,7,0,1205.0
5,107.0,5,5.0,2.0,1954.0,11,0,720.0
5,109.98,4,4.0,9.0,2019.0,4,1,1297.76
1,35.0,2,2.0,1.0,1933.0,12,0,445.0
4,93.05,4,4.0,9.0,2018.0,4,1,1160.0
3,71.0,3,3.0,2.0,1970.0,7,0,535.0
2,54.0,2,2.0,8.0,2014.0,15,1,1580.0
2,48.75,2,2.0,1.0,1909.0,4,1,340.0
4,84.45,3,3.0,3.0,1972.0,8,1,750.0
3,70.1,3,3.0,3.0,1974.0,13,0,561.0
4,95.8,4,4.0,1.0,1924.0,2,0,595.0
3,68.0,2,2.5,5.0,1994.0,8,1,960.0
2,60.85,3,3.0,4.0,1983.0,1,0,477.67
2,51.9,2,2.0,3.0,1980.0,8,0,570.0
3,70.0,2,2.0,8.0,2012.0,12,1,1030.0
2,46.4,2,2.0,1.0,1931.0,13,1,652.67
7,164.0,4,4.0,5.0,1996.0,3,0,1330.0
3,71.0,3,3.0,4.0,1988.0,1,0,535.0
5,120.0,4,4.0,5.0,1995.0,13,0,990.0
5,111.0,4,4.0,9.0,2018.0,13,0,1474.0
2,58.24,2,2.0,2.0,1970.0,5,0,454.5
1,36.1,1,1.5,1.0,1900.0,15,1,387.28
5,106.0,4,4.0,8.0,2015.0,7,0,1289.0
5,108.82,4,4.0,1.0,1930.0,4,1,1200.0
4,98.0,2,2.0,7.0,2007.0,13,0,849.0
3,65.0,3,3.0,2.0,1957.0,8,0,600.0
2,57.79,2,2.5,2.0,1965.0,8,1,420.73
1,29.0,1,1.0,3.0,1975.0,8,1,430.0
2,58.0,3,3.0,5.0,1996.0,12,0,630.0
2,52.0,2,2.0,1.0,1910.0,4,1,360.0
2,58.0,2,2.0,7.0,2008.0,14,1,1450.0
4,85.0,3,3.0,2.0,1953.0,7,1,875.0
2,58.59,2,2.0,5.0,1996.0,1,0,450.0
3,75.22,3,3.0,4.0,1982.0,10,0,712.32
1,40.0,1,1.5,1.0,1913.0,12,1,1150.0
3,75.0,2,2.0,5.0,1994.0,14,1,1025.0
1,38.0,1,1.0,3.0,1974.0,14,0,500.0
2,58.68,2,2.0,5.0,1998.0,4,1,540.0
2,60.37,2,2.0,5.0,1997.0,4,1,600.0
2,48.41,2,2.0,1.0,1931.0,5,0,395.0
2,53.0,2,2.0,5.0,1995.0,12,0,523.0
3,62.04,3,3.0,1.0,1926.0,4,0,399.0
1,34.0,1,1.0,5.0,1995.0,11,0,450.0
5,110.0,3,3.0,3.0,1972.0,12,0,990.0
4,88.0,3,3.0,4.0,1984.0,7,0,840.0
4,95.0,4,4.0,9.0,2017.0,4,1,1135.32
4,86.0,3,3.0,9.0,2020.0,8,1,1180.0
3,64.75,2,2.0,1.0,1900.0,4,1,744.0
4,93.17,4,4.0,1.0,1900.0,4,1,780.0
7,160.0,2,2.0,1.0,1920.0,14,1,3480.0
4,83.0,3,3.0,9.0,2018.0,14,0,1093.0
3,73.5,3,3.0,9.0,2019.0,5,0,1051.05
1,30.0,1,1.0,3.0,1971.0,16,1,395.11
2,50.29,2,2.0,3.0,1980.0,5,0,440.0
2,58.0,2,2.0,1.0,1910.0,4,1,440.0
6,134.0,3,3.0,1.0,1900.0,14,1,4220.0
