Postleitzahl,Ortsname,Anzahl Datensätze,Durchschnittsmiete in €,Preistrend in %,Durchschnittlicher Wohnraum in qm,Miete/qm (warm),Median Raumanzahl,Median Baujahr gerundet
01067,Dresden,566,1237,2.89,86,14.22,3.0,2017
01069,Dresden,175,702,2.39,61,11.40,2.0,1975
01097,Dresden,290,836,2.85,69,12.02,2.0,1927
01099,Dresden,318,714,2.58,61,11.56,2.0,1989
01108,Dresden,46,638,2.22,50,12.53,2.0,1996
01109,Dresden,60,800,1.90,68,11.72,2.0,1956
01127,Dresden,142,690,2.46,66,10.38,2.0,1910
01129,Dresden,124,647,2.02,64,10.05,2.0,1911
01139,Dresden,175,618,2.20,61,10.11,2.0,1930
01156,Dresden,55,839,1.30,79,10.56,2.0,1993
01157,Dresden,224,603,1.91,60,9.97,2.0,1916
01159,Dresden,483,652,2.54,61,10.69,2.0,1920
01169,Dresden,254,482,1.83,52,9.26,2.0,1984
01187,Dresden,259,738,2.43,58,12.68,2.0,1995
01189,Dresden,71,666,1.92,59,11.16,2.0,1994
01217,Dresden,106,561,2.29,51,10.97,2.0,1995
01219,Dresden,217,644,2.46,58,10.99,2.0,1985
01237,Dresden,184,713,1.51,68,10.36,2.5,1978
01239,Dresden,165,500,1.59,54,9.26,2.0,1978
01257,Dresden,121,579,1.70,62,9.26,2.0,1971
01259,Dresden,105,633,1.97,65,9.63,2.0,1979
01277,Dresden,228,685,1.95,64,10.58,2.0,1938
01279,Dresden,164,657,1.88,62,10.50,2.0,1952
01307,Dresden,250,701,2.33,63,11.02,2.0,1974
01309,Dresden,382,986,2.16,81,12.07,3.0,1997
01324,Dresden,79,1185,1.46,90,13.07,3.0,1901
01326,Dresden,98,1194,1.03,93,12.72,2.75,1997
01328,Dresden,57,436,1.75,46,9.47,2.0,1994
01445,Radebeul,154,747,2.61,72,10.30,2.0,1930
01454,"Radeberg, Wachau",76,509,2.83,57,8.89,2.0,1927
01458,Ottendorf-Okrilla,7,483,3.26,48,9.96,1.0,1996
01465,Dresden,12,742,1.80,67,10.92,2.25,1995
01468,Moritzburg,11,784,2.80,77,10.11,2.0,1996
01471,Radeburg,5,588,2.90,65,8.99,3.0,1996
01477,Arnsdorf b. Dresden,8,483,2.29,49,9.73,1.5,1987
01558,Großenhain,84,477,1.35,62,7.62,2.0,1974
01561,"Großenhain, Ebersbach u.a.",10,558,1.53,78,7.13,3.0,1972
01587,Riesa,156,447,0.82,61,7.29,2.0,1958
01589,Riesa,226,415,0.85,59,6.99,2.0,1950
01591,Riesa,128,453,0.85,62,7.20,3.0,1944
01594,"Riesa, Stauchitz, Hirschstein",3,397,0.52,58,6.81,2.0,1990
01609,"Gröditz, Wülknitz, Röderaue",4,548,1.93,80,6.84,3.0,1920
01612,"Nünchritz, Glaubitz",61,407,1.00,53,7.58,2.0,1970
01616,Strehla,14,403,0.46,58,6.89,2.0,1933
01619,Zeithain,19,427,0.33,61,6.97,3.0,1982
01623,Lommatzsch,17,461,0.11,70,6.57,2.0,1957
01640,Coswig,102,583,2.18,62,9.36,2.0,1979
01662,Meißen,466,473,1.46,59,7.93,2.0,1904
01665,"Käbschütztal, Klipphausen, Diera-Zehren",30,630,2.00,75,8.30,3.0,1916
01683,Nossen,32,481,0.65,61,7.81,2.25,1930
01689,Weinböhla,46,524,1.56,57,9.11,2.0,1995
01705,Freital,503,510,1.42,60,8.47,2.0,1920
01723,Wilsdruff,34,565,1.67,62,9.03,2.0,1996
01728,Bannewitz,42,638,1.67,64,9.95,2.0,1994
01731,Kreischa,25,586,0.40,61,9.57,2.0,1880
01734,Rabenau,14,484,1.72,59,8.08,2.0,1910
01737,Tharandt u.a.,6,518,1.22,63,8.21,2.25,1900
01738,Dorfhain,12,453,-0.12,63,7.21,3.0,1960
01744,Dippoldiswalde,30,551,0.49,68,8.06,3.0,1956
01762,Hartmannsdorf-Reichenau,7,416,0.48,54,7.57,2.0,1976
01768,Glashütte,23,453,0.26,61,7.31,2.5,1934
01773,Altenberg,8,365,-0.15,50,7.29,2.0,1980
01774,Klingenberg,39,514,2.03,60,8.44,3.0,1986
01776,Hermsdorf/Erzgeb.,1,252,-1.26,38,6.63,1.0,1985
01778,Altenberg,26,488,0.23,65,7.44,2.0,1973
01796,"Pirna, Struppen, Dohma",403,552,1.22,65,8.45,3.0,1959
01809,Heidenau,158,478,1.33,58,8.20,2.0,1936
01814,Bad Schandau,8,489,0.44,65,7.49,2.25,1902
01816,Bad Gottleuba-Berggießhübel,20,577,1.17,70,8.13,2.0,1993
01819,Bahretal,7,473,1.77,54,8.76,2.0,1966
01824,Königstein/Sächs.Schw.,7,413,0.14,56,7.36,3.0,1903
01825,Liebstadt,2,578,0.56,76,7.57,2.5,1964
01829,Wehlen,2,520,0.82,68,7.66,2.0,1906
01833,"Stolpen, Dürrröhrsdorf-Dittersbach",16,444,0.70,58,7.59,2.0,1979
01844,Neustadt i. Sa.,17,421,0.16,57,7.32,2.0,1984
01847,Lohmen,1,450,0.32,53,8.44,2.0,1900
01848,Hohnstein,3,481,-1.85,74,6.45,3.0,1900
01855,Sebnitz,89,412,0.32,58,7.09,2.0,1920
01877,Bischofswerda u.a.,56,476,2.30,63,7.53,3.0,1929
01896,Pulsnitz,29,545,2.80,66,8.25,2.0,1993
01900,"Großröhrsdorf, Bretnig-Hauswalde",29,588,2.22,68,8.63,3.0,1977
01904,Neukirch/Lausitz,3,518,1.79,64,7.98,2.0,1880
01906,Burkau,1,870,3.39,142,6.13,3.0,1750
01909,"Großharthau, Frankenthal",3,330,3.25,44,7.35,2.0,1970
01917,Kamenz,203,486,1.89,61,7.85,3.0,1965
01920,"Elstra, Oßling u.a.",22,477,1.92,66,7.13,3.0,1967
01936,Königsbrück u.a.,42,454,1.97,57,7.94,2.0,1993
01945,Ruhland,10,536,1.14,69,7.67,3.0,1976
01968,Senftenberg,59,541,2.27,66,8.14,3.0,1965
